ObjectID,SamplingSite,SampleNumber,pXRFSampleNumber,PbMeasurement_ppm,Longitude,Latitude,Buffer_m
12,Fisk,F1,1077,45,-87.6495460506112,41.8524923318299,400
13,Fisk,F2,1078,125,-87.6507421407814,41.8524516110866,400
14,Fisk,F3,1079,65,-87.6514439279208,41.852387802833,400
15,Fisk,F4,1080,108,-87.6519543065899,41.852396008787,200
16,Fisk,F5,1081,142,-87.6529109410641,41.8524141510784,200
17,Fisk,F6,1082,51,-87.6535001036633,41.8524329283958,200
18,Fisk,F7,1083,189,-87.6538414674055,41.8523527005099,200
19,Fisk,F8,1084,171,-87.6545333940681,41.8523510525024,200
20,Fisk,F9,1085,210,-87.655476695066,41.8523384520927,400
21,Fisk,F10,1086,44,-87.6561326503687,41.8523254204354,400
22,Cermak2,C1,1106,220,-87.6570336896896,41.8523334259865,400
23,Cermak2,C2,1107,89,-87.6576916537015,41.8522962463795,400
24,Cermak2,C3,1108,110,-87.6582933472644,41.8522875251245,600
25,Cermak2,C4,1110,370,-87.6589561559113,41.8522998668251,600
26,Cermak2,C5,1111,169,-87.6595599834776,41.8522685340824,600
27,Cermak2,C6,1112,149,-87.6601540767711,41.8522809937708,600
28,Cermak2,C7,1113,230,-87.6607411053061,41.8522763137341,800
29,Cermak2,C8,1114,196,-87.6614223291257,41.8523095748684,800
30,Cermak2,C9,1115,118,-87.6620398522323,41.8522632748888,800
31,Cermak2,C10,1116,161,-87.662670675693,41.8523077266511,600
32,Cermak2,C11,1117,151,-87.6633021030255,41.8522931701468,600
33,Cermak2,C12,1118,251,-87.6639552236047,41.8522529665958,600
34,Cermak2,C13,1119,517,-87.6646018607151,41.8522094360323,600
35,Cermak2,C14,1120,138,-87.6652346212573,41.8522048355436,600
36,Cermak2,C15,1121,308,-87.6652381812616,41.8522278264917,600
37,Cermak2,C16,1122,302,-87.6658139221207,41.8521502864868,600
38,SIMS,S1,1131,73,-87.6662596548656,41.8518965290486,400
39,SIMS,S2,1132,281,-87.6667383127784,41.8516428731918,400
40,SIMS,S3,1133,328,-87.6667030768363,41.8516504594645,400
41,SIMS,S4,1134,585,-87.6671282431462,41.8512928005756,400
42,SIMS,S5,1135,133,-87.6676345086678,41.8510617320755,400
43,SIMS,S6,1136,742,-87.6675067131849,41.8511400075054,400
44,SIMS,S7,1137,315,-87.6673422553954,41.8512207075259,400
45,SIMS,S8,1138,116,-87.6678169931489,41.8509728105134,400
46,SIMS,S9,1139,178,-87.6679984669401,41.8509050302655,400
47,SIMS,S10,1140,317,-87.6681650032874,41.8508334588458,400
48,SIMS,S11,1141,97,-87.6666096566175,41.8521731700305,400
49,SIMS,S12,1142,43,-87.6672163393184,41.8519885647887,400
50,SIMS,S13,1143,56,-87.6679154470881,41.8516909220646,400
51,SIMS,S14,1144,49,-87.6687988958354,41.8513398861008,400
